path,class,split,source_fold
ladrido/3-144028-A-0.wav,ladrido,train,3
ladrido/3-155312-A-0.wav,ladrido,train,3
ladrido/3-157695-A-0.wav,ladrido,train,3
ladrido/3-163459-A-0.wav,ladrido,train,3
ladrido/3-170015-A-0.wav,ladrido,train,3
ladrido/3-180256-A-0.wav,ladrido,train,3
ladrido/3-180977-A-0.wav,ladrido,train,3
ladrido/4-182395-A-0.wav,ladrido,validation,4
ladrido/4-183992-A-0.wav,ladrido,validation,4
ladrido/4-184575-A-0.wav,ladrido,validation,4
ladrido/4-191687-A-0.wav,ladrido,validation,4
ladrido/4-192236-A-0.wav,ladrido,validation,4
ladrido/4-194754-A-0.wav,ladrido,validation,4
ladrido/4-199261-A-0.wav,ladrido,validation,4
ladrido/4-207124-A-0.wav,ladrido,validation,4
ladrido/5-203128-A-0.wav,ladrido,test,5
ladrido/5-203128-B-0.wav,ladrido,test,5
ladrido/5-208030-A-0.wav,ladrido,test,5
ladrido/5-212454-A-0.wav,ladrido,test,5
ladrido/5-213855-A-0.wav,ladrido,test,5
ladrido/5-217158-A-0.wav,ladrido,test,5
ladrido/5-231762-A-0.wav,ladrido,test,5
ladrido/5-9032-A-0.wav,ladrido,test,5
aplausos/1-104089-A-22.wav,aplausos,train,1
aplausos/1-104089-B-22.wav,aplausos,train,1
aplausos/1-105224-A-22.wav,aplausos,train,1
aplausos/1-110537-A-22.wav,aplausos,train,1
aplausos/1-115920-A-22.wav,aplausos,train,1
aplausos/1-115920-B-22.wav,aplausos,train,1
aplausos/1-115921-A-22.wav,aplausos,train,1
aplausos/1-94036-A-22.wav,aplausos,train,1
aplausos/2-25292-A-22.wav,aplausos,train,2
aplausos/2-25293-A-22.wav,aplausos,train,2
aplausos/2-57733-A-22.wav,aplausos,train,2
aplausos/2-60900-A-22.wav,aplausos,train,2
aplausos/2-76408-A-22.wav,aplausos,train,2
aplausos/2-76408-B-22.wav,aplausos,train,2
aplausos/2-76408-C-22.wav,aplausos,train,2
aplausos/2-76408-D-22.wav,aplausos,train,2
aplausos/3-130330-A-22.wav,aplausos,train,3
aplausos/3-138114-A-22.wav,aplausos,train,3
aplausos/3-149465-A-22.wav,aplausos,train,3
aplausos/3-177082-A-22.wav,aplausos,train,3
aplausos/3-177083-A-22.wav,aplausos,train,3
aplausos/3-181278-A-22.wav,aplausos,train,3
aplausos/3-197435-A-22.wav,aplausos,train,3
aplausos/3-197435-B-22.wav,aplausos,train,3
aplausos/4-189828-A-22.wav,aplausos,validation,4
aplausos/4-189830-A-22.wav,aplausos,validation,4
aplausos/4-189832-A-22.wav,aplausos,validation,4
aplausos/4-189832-B-22.wav,aplausos,validation,4
aplausos/4-189833-A-22.wav,aplausos,validation,4
aplausos/4-189836-A-22.wav,aplausos,validation,4
aplausos/4-189838-A-22.wav,aplausos,validation,4
aplausos/4-205738-A-22.wav,aplausos,validation,4
aplausos/5-209989-A-22.wav,aplausos,test,5
aplausos/5-218494-A-22.wav,aplausos,test,5
aplausos/5-221567-A-22.wav,aplausos,test,5
aplausos/5-221568-A-22.wav,aplausos,test,5
aplausos/5-221950-A-22.wav,aplausos,test,5
aplausos/5-249937-A-22.wav,aplausos,test,5
aplausos/5-254160-A-22.wav,aplausos,test,5
aplausos/5-262957-A-22.wav,aplausos,test,5
lluvia/1-17367-A-10.wav,lluvia,train,1
lluvia/1-21189-A-10.wav,lluvia,train,1
lluvia/1-26222-A-10.wav,lluvia,train,1
lluvia/1-29561-A-10.wav,lluvia,train,1
lluvia/1-50060-A-10.wav,lluvia,train,1
lluvia/1-54958-A-10.wav,lluvia,train,1
lluvia/1-56311-A-10.wav,lluvia,train,1
lluvia/1-63871-A-10.wav,lluvia,train,1
lluvia/2-101676-A-10.wav,lluvia,train,2
lluvia/2-117625-A-10.wav,lluvia,train,2
lluvia/2-72970-A-10.wav,lluvia,train,2
lluvia/2-73027-A-10.wav,lluvia,train,2
lluvia/2-73260-A-10.wav,lluvia,train,2
lluvia/2-81731-A-10.wav,lluvia,train,2
lluvia/2-82367-A-10.wav,lluvia,train,2
lluvia/2-87781-A-10.wav,lluvia,train,2
lluvia/3-132852-A-10.wav,lluvia,train,3
lluvia/3-140774-A-10.wav,lluvia,train,3
lluvia/3-142005-A-10.wav,lluvia,train,3
lluvia/3-142006-A-10.wav,lluvia,train,3
lluvia/3-143929-A-10.wav,lluvia,train,3
lluvia/3-157149-A-10.wav,lluvia,train,3
lluvia/3-157487-A-10.wav,lluvia,train,3
lluvia/3-157615-A-10.wav,lluvia,train,3
lluvia/4-160999-A-10.wav,lluvia,validation,4
lluvia/4-161127-A-10.wav,lluvia,validation,4
lluvia/4-163264-A-10.wav,lluvia,validation,4
lluvia/4-164206-A-10.wav,lluvia,validation,4
lluvia/4-166661-A-10.wav,lluvia,validation,4
lluvia/4-177250-A-10.wav,lluvia,validation,4
lluvia/4-180380-A-10.wav,lluvia,validation,4
lluvia/4-181286-A-10.wav,lluvia,validation,4
lluvia/5-181766-A-10.wav,lluvia,test,5
lluvia/5-188655-A-10.wav,lluvia,test,5
lluvia/5-193339-A-10.wav,lluvia,test,5
lluvia/5-194892-A-10.wav,lluvia,test,5
lluvia/5-195710-A-10.wav,lluvia,test,5
lluvia/5-198321-A-10.wav,lluvia,test,5
lluvia/5-202898-A-10.wav,lluvia,test,5
lluvia/5-203739-A-10.wav,lluvia,test,5
sirena/1-31482-A-42.wav,sirena,train,1
sirena/1-31482-B-42.wav,sirena,train,1
sirena/1-54084-A-42.wav,sirena,train,1
sirena/1-76831-A-42.wav,sirena,train,1
sirena/1-76831-B-42.wav,sirena,train,1
sirena/1-76831-C-42.wav,sirena,train,1
sirena/1-76831-D-42.wav,sirena,train,1
sirena/1-76831-E-42.wav,sirena,train,1
sirena/2-43802-A-42.wav,sirena,train,2
sirena/2-43806-A-42.wav,sirena,train,2
sirena/2-70052-A-42.wav,sirena,train,2
sirena/2-70052-B-42.wav,sirena,train,2
sirena/2-70936-A-42.wav,sirena,train,2
sirena/2-70938-A-42.wav,sirena,train,2
sirena/2-70939-A-42.wav,sirena,train,2
sirena/2-72688-A-42.wav,sirena,train,2
sirena/3-51376-A-42.wav,sirena,train,3
sirena/3-51731-A-42.wav,sirena,train,3
sirena/3-51731-B-42.wav,sirena,train,3
sirena/3-51909-A-42.wav,sirena,train,3
sirena/3-51909-B-42.wav,sirena,train,3
sirena/3-58772-A-42.wav,sirena,train,3
sirena/3-62878-A-42.wav,sirena,train,3
sirena/3-62878-B-42.wav,sirena,train,3
sirena/4-102871-A-42.wav,sirena,validation,4
sirena/4-111671-A-42.wav,sirena,validation,4
sirena/4-111671-B-42.wav,sirena,validation,4
sirena/4-121532-A-42.wav,sirena,validation,4
sirena/4-67358-A-42.wav,sirena,validation,4
sirena/4-80761-A-42.wav,sirena,validation,4
sirena/4-90014-A-42.wav,sirena,validation,4
sirena/4-90014-B-42.wav,sirena,validation,4
sirena/5-117118-A-42.wav,sirena,test,5
sirena/5-117120-A-42.wav,sirena,test,5
sirena/5-117122-A-42.wav,sirena,test,5
sirena/5-133989-A-42.wav,sirena,test,5
sirena/5-133989-B-42.wav,sirena,test,5
sirena/5-150409-A-42.wav,sirena,test,5
sirena/5-160551-A-42.wav,sirena,test,5
sirena/5-184323-A-42.wav,sirena,test,5
helicoptero/1-172649-A-40.wav,helicoptero,train,1
helicoptero/1-172649-B-40.wav,helicoptero,train,1
helicoptero/1-172649-C-40.wav,helicoptero,train,1
helicoptero/1-172649-D-40.wav,helicoptero,train,1
helicoptero/1-172649-E-40.wav,helicoptero,train,1
helicoptero/1-172649-F-40.wav,helicoptero,train,1
helicoptero/1-181071-A-40.wav,helicoptero,train,1
helicoptero/1-181071-B-40.wav,helicoptero,train,1
helicoptero/2-188822-A-40.wav,helicoptero,train,2
helicoptero/2-188822-B-40.wav,helicoptero,train,2
helicoptero/2-188822-C-40.wav,helicoptero,train,2
helicoptero/2-188822-D-40.wav,helicoptero,train,2
helicoptero/2-37806-A-40.wav,helicoptero,train,2
helicoptero/2-37806-B-40.wav,helicoptero,train,2
helicoptero/2-37806-C-40.wav,helicoptero,train,2
helicoptero/2-37806-D-40.wav,helicoptero,train,2
helicoptero/3-150979-A-40.wav,helicoptero,train,3
helicoptero/3-150979-B-40.wav,helicoptero,train,3
helicoptero/3-150979-C-40.wav,helicoptero,train,3
helicoptero/3-154926-A-40.wav,helicoptero,train,3
helicoptero/3-154926-B-40.wav,helicoptero,train,3
helicoptero/3-68630-A-40.wav,helicoptero,train,3
helicoptero/3-68630-B-40.wav,helicoptero,train,3
helicoptero/3-68630-C-40.wav,helicoptero,train,3
helicoptero/4-125929-A-40.wav,helicoptero,validation,4
helicoptero/4-161579-A-40.wav,helicoptero,validation,4
helicoptero/4-161579-B-40.wav,helicoptero,validation,4
helicoptero/4-175000-A-40.wav,helicoptero,validation,4
helicoptero/4-175000-B-40.wav,helicoptero,validation,4
helicoptero/4-175000-C-40.wav,helicoptero,validation,4
helicoptero/4-193480-A-40.wav,helicoptero,validation,4
helicoptero/4-193480-B-40.wav,helicoptero,validation,4
helicoptero/5-177957-A-40.wav,helicoptero,test,5
helicoptero/5-177957-B-40.wav,helicoptero,test,5
helicoptero/5-177957-C-40.wav,helicoptero,test,5
helicoptero/5-177957-D-40.wav,helicoptero,test,5
helicoptero/5-177957-E-40.wav,helicoptero,test,5
helicoptero/5-191131-A-40.wav,helicoptero,test,5
helicoptero/5-205898-A-40.wav,helicoptero,test,5
helicoptero/5-220955-A-40.wav,helicoptero,test,5
